fl	sample	correlation
23	SRR8315178	0.0020651783463559964
23	SRR8315179	0.0016042215754696512
24	SRR8315174	7.42583334868483e-4
24	SRR8315175	0.0010603523806467425
24	SRR8315176	6.253431902074717e-4
24	SRR8315177	0.00264186030274461
24	SRR8315178	0.0021406339759947384
24	SRR8315179	0.0016085603207035251
25	SRR8315174	6.761172922351493e-4
25	SRR8315175	0.0010519320995714591
25	SRR8315176	5.48782494692181e-4
25	SRR8315177	0.00257980246516946
25	SRR8315178	0.002080904731068273
25	SRR8315179	0.0015648704479562414
26	SRR8315174	7.112665704376015e-4
26	SRR8315175	0.0010381143049281083
26	SRR8315176	5.511559649267696e-4
26	SRR8315177	0.0025684094355720847
26	SRR8315178	0.0020596742342046657
26	SRR8315179	0.0015233427778282287
27	SRR8315174	6.919254193547018e-4
27	SRR8315175	0.0010507765375371528
27	SRR8315176	5.428737870446863e-4
27	SRR8315177	0.002624117118691686
27	SRR8315178	0.0021695844236339096
27	SRR8315179	0.0016206455579099801
28	SRR8315174	6.841849140204376e-4
28	SRR8315175	0.0010004333159717882
28	SRR8315176	5.188025536621611e-4
28	SRR8315177	0.002629833501246215
28	SRR8315178	0.002119704650855713
28	SRR8315179	0.001595561082881617
29	SRR8315174	7.496565419259672e-4
29	SRR8315175	0.0010448999021550511
29	SRR8315176	5.669424569620552e-4
29	SRR8315177	0.00267162171566066
29	SRR8315178	0.002147710594267649
29	SRR8315179	0.001650430526397114
30	SRR8315174	7.738654434095802e-4
30	SRR8315175	0.0010057728579842549
30	SRR8315176	6.249706469837687e-4
30	SRR8315177	0.0027545897538795616
30	SRR8315178	0.002280989091213299
30	SRR8315179	0.0016498248117383155
31	SRR8315174	6.986932278728988e-4
31	SRR8315175	0.001054745615408378
31	SRR8315176	6.032325321626545e-4
31	SRR8315177	0.0027020681815951102
31	SRR8315178	0.0022031048958229315
31	SRR8315179	0.0016619006808795563
32	SRR8315174	7.496664133655335e-4
32	SRR8315175	0.0010519136542539308
32	SRR8315176	5.294590436843382e-4
32	SRR8315177	0.0028125425175291215
32	SRR8315178	0.0022314542495688325
32	SRR8315179	0.0016575572146256261
33	SRR8315174	6.964290745883118e-4
33	SRR8315175	0.0011045314775398132
33	SRR8315176	5.649614870412052e-4
33	SRR8315177	0.002802735826428008
33	SRR8315178	0.0022532851613345146
33	SRR8315179	0.001671193878145961
34	SRR8315174	7.18704855087924e-4
34	SRR8315175	0.0011158129556618655
34	SRR8315176	5.342039251617065e-4
34	SRR8315177	0.0027979905901887913
34	SRR8315178	0.0022400557557014
34	SRR8315179	0.0017325762056029015
35	SRR8315174	7.13548282417446e-4
35	SRR8315175	0.0010538829242575825
35	SRR8315176	5.858744364339811e-4
35	SRR8315177	0.002862910236976664
35	SRR8315178	0.0023028587734337893
35	SRR8315179	0.0017120934572217338
36	SRR8315174	7.012752787754908e-4
36	SRR8315175	0.0010629074522645844
36	SRR8315176	5.989243098693664e-4
36	SRR8315177	0.002811323438757991
36	SRR8315178	0.0022163579825315496
36	SRR8315179	0.001714288973674916
37	SRR8315174	6.70955790634677e-4
37	SRR8315175	0.001057803030901382
37	SRR8315176	5.874542914792283e-4
37	SRR8315177	0.0028822309854396335
37	SRR8315178	0.0022878047311740493
37	SRR8315179	0.0017552104674162332
38	SRR8315174	7.222702189331517e-4
